Alveolata.list	0	0	255	blue
Amoebozoa.list	153	102	51	brown
CentricDiatom.list	255	153	153	orange
Cryptophyta.list	153	102	153	lavender
Excavata.list	102	153	204	pale blue
Glaucophyta.list	51	153	102	blue green
Haptophyta.list	153	102	153	lavender
NonDiatomStramenopile.list	204	0	204	magenta
Opisthokonta.list	153	102	51	brown
PennateDiatom.list	255	102	0	orange
Rhizaria.list	102	0	102	dark purple
Rhodophyta.list	255	0	0	red
Viridiplantae.list	51	153	51	green
